Ticker,Precio Actual,Sharpe 2Y,Momentum 3M %,Max DD 1Y %,Retorno 2Y %,MA20,MA50
WMT,125.08,1.738,7.1,-8.88,140.68,125.55,123.11
GE,302.09,1.668,0.63,-21.36,204.68,328.38,318.96
CAT,702.0,1.395,19.31,-20.05,147.93,728.92,693.23
T,27.85,1.171,15.91,-20.59,81.23,28.02,26.36
JNJ,238.11,1.074,11.77,-11.75,59.1,243.66,231.46
XOM,158.81,0.994,35.76,-16.05,67.44,151.64,142.25
CSCO,79.27,0.963,1.85,-13.57,67.12,78.63,78.14
COST,996.16,0.889,15.92,-19.35,55.01,997.42,975.38
KO,77.58,0.779,10.07,-9.82,38.54,78.41,75.28
VZ,50.52,0.77,25.97,-13.32,50.71,50.17,45.61
CVX,197.97,0.708,33.45,-20.64,45.96,188.92,177.28
TMUS,213.35,0.554,9.29,-30.79,36.45,216.68,203.9
