Ticker,BH %,Estrategia %,Ventaja %,Operaciones,Volatilidad %
AAPL,245.22,79.83,-165.39,18,31.63
MSFT,157.49,53.57,-103.92,17,29.72
GOOGL,353.33,125.56,-227.77,16,32.17
AMZN,121.15,3.05,-118.1,17,35.55
NVDA,2921.39,142.61,-2778.79,18,52.69
META,195.79,128.72,-67.08,15,43.61
TSLA,1269.33,79.81,-1189.52,16,65.76
BRK-B,112.12,81.58,-30.55,15,21.17
JPM,141.72,101.84,-39.88,14,31.21
V,63.57,10.63,-52.94,18,26.99
MA,66.77,-1.68,-68.45,19,29.68
BAC,53.1,46.38,-6.72,13,34.18
WFC,66.26,11.3,-54.96,15,37.43
GS,298.52,67.39,-231.13,19,32.91
JNJ,93.48,14.5,-78.98,18,19.57
UNH,8.03,-40.09,-48.12,19,34.23
PFE,-0.64,-0.26,0.38,21,27.1
ABBV,200.78,81.52,-119.26,20,25.11
TMO,44.75,23.74,-21.01,14,28.71
MRK,58.82,23.63,-35.19,18,24.76
LLY,647.64,107.9,-539.74,15,34.36
WMT,234.8,33.21,-201.58,18,23.14
HD,75.35,47.98,-27.37,17,27.87
PG,39.03,2.72,-36.31,18,20.65
KO,67.21,22.73,-44.49,18,20.21
PEP,36.95,-21.41,-58.36,18,22.17
COST,268.21,32.25,-235.95,16,23.67
NKE,-42.91,-9.96,32.94,20,35.9
BA,-37.83,15.84,53.67,16,48.59
CAT,423.23,118.1,-305.13,13,32.6
HON,53.67,4.79,-48.87,18,26.69
UPS,6.79,-23.84,-30.63,18,30.56
GE,421.17,65.47,-355.7,18,37.98
MMM,20.76,-7.89,-28.65,21,29.62
XOM,195.63,72.46,-123.18,16,32.67
CVX,115.84,-7.82,-123.65,17,33.71
COP,137.07,92.33,-44.74,18,42.27
VZ,16.38,-36.25,-52.63,22,21.83
T,44.39,22.05,-22.33,15,25.96
TMUS,173.44,49.33,-124.12,15,27.44
DIS,-31.34,59.29,90.63,16,33.2
NFLX,187.14,127.9,-59.24,16,43.74
INTC,-16.09,-27.34,-11.24,20,48.85
CSCO,91.74,40.84,-50.9,14,27.11
ADBE,-26.44,-50.0,-23.56,19,37.72
CRM,17.79,20.03,2.24,16,38.96
ORCL,210.01,58.53,-151.48,17,39.65
AMD,306.23,18.86,-287.37,18,54.28
