,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,JPM,V,MA,BAC,WFC,GS,JNJ,UNH,PFE,ABBV,TMO,MRK,LLY,WMT,HD,PG,KO,PEP,COST,NKE,BA,CAT,HON,UPS,GE,MMM,XOM,CVX,COP,VZ,T,TMUS,DIS,NFLX,INTC,CSCO,ADBE,CRM,ORCL,AMD
AAPL,1.0,0.5940027747918201,0.5744034409341835,0.5469511798002367,0.5112199120373673,0.4821004206340445,0.49686445968917586,0.47340212849318836,0.39275935152118646,0.5215589789031456,0.5526873313050652,0.41065703238057305,0.3723806018463051,0.4485082872663216,0.14878693537599474,0.10714030444744493,0.23126729319803896,0.14401397589540244,0.41045405126233536,0.1711593030158951,0.20016385729930067,0.27529937085734274,0.4386083588721885,0.25984138063426354,0.2714931651474515,0.2720310407053694,0.449046754473585,0.4629356385652002,0.39130128845297574,0.34498748099709786,0.43863275785482053,0.41874649158878047,0.3927585322752966,0.3371069824600353,0.20977886686089056,0.2525753112894256,0.23372982888590124,0.16225936650021908,0.16419348648163118,0.2644658404541093,0.439817426278114,0.39338441659448015,0.3573939675368147,0.475547370494313,0.48683926640352676,0.45973957212186345,0.2779787550371097,0.48744943939708446
MSFT,0.5940027747918201,1.0,0.6002578691988343,0.6476477259949677,0.6169537311673209,0.5652224211782887,0.42267500127154456,0.36490730595724463,0.3488508262555986,0.45742946454818867,0.495096053134609,0.34219695787724863,0.32112760444833804,0.41345694529345306,0.03865426191197155,0.11122133093826211,0.16468412279344102,0.08274635469375767,0.36563757337777275,0.04497310937385781,0.18402782449401553,0.2154319723846404,0.37258553968173025,0.15689362739974863,0.15090449283125784,0.13466862915537445,0.4283050042099933,0.3446833170487229,0.32518795612904816,0.28235811690335005,0.3572142736057126,0.32648055902151196,0.3606766364885812,0.269395369019841,0.07221003332681436,0.13928171111282842,0.13389578092200213,0.04485199388664229,0.026753453606188495,0.2191618603391472,0.4047829953187449,0.43081047532297884,0.329921666458116,0.4149265321313928,0.5717419584116092,0.5689490983455353,0.43851659158089834,0.5327420492701782
GOOGL,0.5744034409341835,0.6002578691988343,1.0,0.6201736283903516,0.5244029777874413,0.555128395891528,0.4349420100045588,0.3431448113033127,0.336771340108503,0.3933558014248829,0.4298148114218551,0.33535981271608883,0.31011446284244887,0.3937309079492335,0.05239939367492795,0.09829488930664262,0.13538912365573166,0.04893595801710741,0.3658739727451524,0.07552610686301149,0.15426312361824313,0.18390344833389224,0.32254073852745313,0.10682893896643804,0.11101919546691495,0.09779419010694433,0.3500262035549826,0.3521044594673116,0.3079531431814728,0.29914133117436353,0.3374586498150539,0.2767387338498925,0.345068516438657,0.26318679129578765,0.08509568696076686,0.15401393260688317,0.14334574526085248,0.06324596303261854,0.04372296683510392,0.15566514307091328,0.35371389892288435,0.3713455767413493,0.3214316859759731,0.3899802814102716,0.4848283168914427,0.4467005144938949,0.31212521489149436,0.5161417830645844
AMZN,0.5469511798002367,0.6476477259949677,0.6201736283903516,1.0,0.546842974486499,0.6035009342285966,0.4628929808898882,0.3700383497617769,0.3836106607543064,0.4259387634042905,0.46763873380787113,0.39633239689770194,0.36709747641762697,0.44629668489426866,-0.000324894967581256,0.07606526479682195,0.1385431683957072,0.04650763993862975,0.3773995598574653,0.05328357854425032,0.1614769960942503,0.23374429323717338,0.4211697452358641,0.08673454990177495,0.09526788083871851,0.08151774112322174,0.4233560910348792,0.4169796173490246,0.38064699025532794,0.31309319873932456,0.36605001004915705,0.3582227662568617,0.394986792943937,0.28854034759539665,0.11966194192804835,0.189508728014777,0.18047828077538705,0.05160357618118617,0.08318824745658682,0.1840568130081763,0.46479573942716546,0.4740671841665121,0.3520652170304845,0.39649046656584275,0.5260279301823788,0.5470869329523569,0.33084073445125367,0.512626233780391
NVDA,0.5112199120373673,0.6169537311673209,0.5244029777874413,0.546842974486499,1.0,0.5041918051076476,0.4749057405501311,0.259502369896299,0.3533672559051407,0.3697777118945446,0.4024322279460539,0.3183255237804272,0.31108933594577304,0.42463110843218943,-0.10949494366009509,0.05248197163052376,0.05237435435433639,0.01937037447077687,0.331748624397783,-0.01925620676044515,0.18123795592935826,0.11101674591982219,0.3078586054059444,-0.00198403827313404,-0.0020219463881335346,-0.0029384625503101115,0.3576269151647052,0.29568587544073865,0.36173676047665937,0.3551783337670982,0.303293319752926,0.26713444598371816,0.4466955027291298,0.23862730434913584,0.08084254549625186,0.14921625452518214,0.15232162245803782,-0.052191991570257404,-0.024870085976268264,0.13021808438831292,0.3841476651396594,0.42950591196905197,0.37507470582036173,0.3884317123490876,0.4726934091737491,0.469543991146908,0.45216885205026663,0.6870995183101347
META,0.4821004206340445,0.5652224211782887,0.555128395891528,0.6035009342285966,0.5041918051076476,1.0,0.3534267088863119,0.2960479063551335,0.3190962013913088,0.3717755373102338,0.42953766796534004,0.32884470055493376,0.31169320092795505,0.3733761140179261,-0.01018696723283618,0.023065444154107398,0.12127095160144226,0.035386072409408165,0.3055493763052873,0.06605015472488114,0.17318472416473119,0.16381920015742973,0.34473468507229577,0.09396632855260197,0.04507544286965666,0.052639896202093674,0.3401769622653799,0.33457323121759036,0.31412258157470707,0.24527813366171772,0.3496422204029926,0.28227451797273817,0.3525679807119027,0.27111954819596956,0.07033500027191934,0.12468232677829692,0.10885211598835573,0.049448674493528966,0.08255167192976322,0.10472688317649077,0.3843136554706099,0.44767254462756784,0.296368692396264,0.32292526112353775,0.45447440535334777,0.4451549737390474,0.28125013163901785,0.4662136502558365
TSLA,0.49686445968917586,0.42267500127154456,0.4349420100045588,0.4628929808898882,0.4749057405501311,0.3534267088863119,1.0,0.2797100306933832,0.34795073585428116,0.33924082216539514,0.32766893816161696,0.3499695073310457,0.3475001415189934,0.3874545489356775,-0.014302286920905806,0.08968985335084763,0.08896042865972367,0.010314316890669051,0.2804475314591238,0.012256844875507995,0.11174813303620348,0.1836795315506122,0.2840523116944744,0.04461620162979585,0.03376287606729391,0.06780271558364809,0.34152964823265913,0.2833707368905228,0.3468306714720962,0.3010178315499944,0.28357581510493185,0.26290906716482365,0.3218513733173285,0.23191155932712298,0.09637282681933372,0.15053550288135661,0.14939762920962135,-0.003206198244917069,0.009025078256737044,0.10622796545177081,0.3700409859248203,0.34712382270031983,0.3006129129775229,0.2860669448811366,0.33637484857923877,0.3789123442893978,0.2978161285171188,0.4552051932465291
BRK-B,0.47340212849318836,0.36490730595724463,0.3431448113033127,0.3700383497617769,0.259502369896299,0.2960479063551335,0.2797100306933832,1.0,0.6094586624858134,0.5595728610674354,0.5791711561913941,0.5809437476144186,0.5539915289769053,0.5264244457012509,0.36062830015619135,0.23140610172624318,0.3554694305728022,0.3079460888125839,0.4045403355418972,0.2867185616526711,0.2574619664459145,0.3127119482923421,0.4510610288988843,0.36468185398995395,0.4285646735868153,0.3527738327087213,0.3904249405299777,0.37416231362591756,0.35757773377762053,0.4284160733533776,0.5100279483661864,0.3879193094709567,0.4112545901777511,0.44129334907294937,0.3701256839846427,0.4010412862839436,0.3712316242273626,0.2993409423496232,0.33650769635102273,0.3431111613978134,0.4312873449359723,0.28001021748341126,0.3017560269517772,0.4078837081546935,0.35431504473798503,0.3310008997790016,0.18555811461772456,0.2751667413649894
JPM,0.39275935152118646,0.3488508262555986,0.336771340108503,0.3836106607543064,0.3533672559051407,0.3190962013913088,0.34795073585428116,0.6094586624858134,1.0,0.5149583301982893,0.5209125193469205,0.7989912231174224,0.7585133424371783,0.7604049207850591,0.1863151694592641,0.16441546547883898,0.23651196628423102,0.20828391353710748,0.36624366751450316,0.1528934339300039,0.17485722217414199,0.21543471072417983,0.3653086437651752,0.17344718759915848,0.2108095912211302,0.16046576580681307,0.2991853433566022,0.34000578801537146,0.3917244384297992,0.5073542090056773,0.4762135564661983,0.3875771325672781,0.48729866454886983,0.4361546667887653,0.2935261372561592,0.34598305207614255,0.33285431378309077,0.16627793363612597,0.22484132687740147,0.21073808118100337,0.46645144323019627,0.2686639805164137,0.306288826947165,0.42527052124462705,0.3062851068726686,0.3345213438410858,0.2635344881754173,0.3358613290158065
V,0.5215589789031456,0.45742946454818867,0.3933558014248829,0.4259387634042905,0.3697777118945446,0.3717755373102338,0.33924082216539514,0.5595728610674354,0.5149583301982893,1.0,0.8857587873376965,0.477739243383937,0.46276483826641907,0.49007477752817086,0.22972711448179473,0.21733361642843796,0.27385434265423475,0.25048559504662443,0.4267166063547787,0.2253133115480345,0.23545101451880254,0.2559745640010956,0.4308026797355905,0.3246715312567056,0.3394280206183152,0.27469837916661344,0.42084215686572995,0.42618999875765634,0.3295344618609734,0.3388184003382356,0.4634342436846272,0.3768579291235803,0.4324959746974123,0.3755502108677357,0.2131193859561214,0.21286296896424886,0.23383534969737696,0.1928711199070682,0.24438909371259618,0.3356853605581644,0.44750439457510505,0.33742669544792736,0.25698396202859913,0.41092649542342313,0.47234940937085323,0.426802277064839,0.22012121091447814,0.36237429242743313
