Ticker,Precio Actual,Retorno %,Sharpe Ratio,Max Drawdown %,Volatilidad %,Señal MA
NVDA,180.25,2918.88,1.233,-66.34,52.73,BAJISTA
LLY,985.08,702.23,1.037,-34.48,34.3,BAJISTA
TSLA,391.2,1263.83,0.91,-73.63,65.82,BAJISTA
CAT,693.99,423.51,0.863,-38.55,32.63,ALCISTA
COST,1008.43,278.92,0.861,-31.4,23.68,ALCISTA
WMT,126.52,247.26,0.814,-25.74,23.14,ALCISTA
GOOGL,302.28,345.36,0.788,-44.32,32.19,BAJISTA
GE,299.69,418.97,0.787,-58.24,38.02,ALCISTA
ABBV,219.68,217.15,0.713,-34.04,25.04,ALCISTA
GS,782.21,287.0,0.709,-45.62,32.93,BAJISTA
AAPL,250.12,245.47,0.666,-33.36,31.65,ALCISTA
TMUS,217.39,187.69,0.615,-31.99,27.43,ALCISTA
AMD,193.39,293.87,0.604,-65.45,54.33,BAJISTA
XOM,156.12,192.87,0.574,-55.0,32.7,ALCISTA
ORCL,155.11,214.49,0.559,-58.25,39.69,BAJISTA
MSFT,395.55,159.96,0.535,-37.15,29.74,BAJISTA
META,613.71,194.59,0.53,-76.74,43.64,BAJISTA
NFLX,95.31,188.98,0.527,-75.95,43.78,ALCISTA
BRK-B,490.03,114.56,0.501,-29.57,21.18,ALCISTA
JPM,283.44,138.11,0.478,-43.63,31.24,BAJISTA
JNJ,241.52,96.94,0.454,-27.37,19.57,ALCISTA
COP,121.89,133.69,0.443,-65.66,42.31,ALCISTA
AMZN,207.67,118.83,0.422,-56.15,35.56,BAJISTA
CVX,196.82,113.89,0.417,-54.83,33.74,ALCISTA
CSCO,78.33,93.54,0.384,-36.68,27.12,ALCISTA
HD,339.03,79.64,0.338,-37.99,27.87,BAJISTA
KO,77.34,70.23,0.33,-36.99,20.21,ALCISTA
MA,497.99,70.02,0.303,-41.0,29.66,BAJISTA
V,307.14,68.01,0.298,-36.36,26.98,BAJISTA
WFC,74.1,61.69,0.288,-59.28,37.46,BAJISTA
MRK,115.61,59.18,0.267,-43.44,24.78,ALCISTA
HON,234.5,56.73,0.256,-43.01,26.71,ALCISTA
BAC,46.72,52.74,0.254,-48.95,34.2,BAJISTA
TMO,464.37,44.65,0.212,-40.95,28.73,BAJISTA
T,27.72,46.02,0.212,-39.43,25.98,ALCISTA
PEP,159.88,42.61,0.19,-30.32,22.17,ALCISTA
PG,150.65,42.76,0.189,-23.77,20.62,ALCISTA
CRM,192.83,16.88,0.157,-58.62,38.98,BAJISTA
MMM,150.96,25.65,0.136,-54.07,29.63,BAJISTA
INTC,45.77,-14.71,0.111,-70.8,48.86,BAJISTA
UNH,282.09,7.18,0.092,-61.39,34.25,BAJISTA
VZ,51.38,20.58,0.064,-41.21,21.83,ALCISTA
UPS,97.21,7.2,0.059,-57.92,30.59,ALCISTA
BA,209.89,-36.66,0.009,-72.49,48.62,BAJISTA
PFE,26.58,-3.33,-0.033,-58.96,27.1,ALCISTA
ADBE,249.32,-25.45,-0.041,-64.16,37.73,BAJISTA
DIS,99.29,-31.42,-0.139,-60.72,33.22,BAJISTA
NKE,53.98,-42.36,-0.179,-68.53,35.91,BAJISTA
